,district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
260,jhapa,chnadra gadhi,26.39616667,88.00375,1599329700,Rain and humid throughout the day.,rain,1599349920,1599395040,0.64,1.7262,8.8937,1599339360,0.97,rain,29.18,1599378660,22.89,1599435840,34.66,1599378960,23.92,1599435600,23.76,0.88,1005.6,3.4,7.37,1599415980,69,0.98,5,1599373020,14.769,263.9,22.99,1599342300,29.18,1599378660,24.22,1599342300,34.66,1599378960
261,jajarkot,bhanu thana,28.961315000000003,82.268888,1599329700,Humid throughout the day.,fog,1599351180,1599396480,0.64,0.2174,0.772,1599392100,0.37,rain,23.6,1599373380,14.82,1599436740,24.73,1599374520,16.22,1599436500,17.77,1.0,1007.6,1.23,2.84,1599375720,158,0.43,11,1599371760,12.622,257.8,12.23,1599348240,23.6,1599373380,13.78,1599348180,24.73,1599374520
262,ilam,soktim tea e,26.88652778,88.02738889,1599329700,Rain overnight and in the morning.,rain,1599349860,1599395040,0.64,0.5441,2.4513,1599338940,0.8,rain,24.25,1599376260,17.78,1599436440,25.42,1599376020,19.06,1599436260,20.35,1.0,1006.9,1.09,2.6,1599372060,107,0.99,6,1599372780,13.164,260.6,18.24,1599351300,24.25,1599376260,19.64,1599416100,25.42,1599376020
263,humla,simikot airport,29.77827806,81.95264499999999,1599329700,Clear throughout the day.,clear-day,1599351240,1599396600,0.64,0.118,0.4662,1599393300,0.3,rain,22.4,1599379140,11.42,1599436200,23.14,1599379320,12.5,1599435840,14.91,1.0,1009.7,0.96,2.89,1599382500,154,0.18,12,1599373560,15.815,257.1,9.0,1599348180,22.4,1599379140,10.16,1599347700,23.14,1599379320
264,jhapa,jumla,26.5647011,88.0614307,1599329700,Rain and humid throughout the day.,rain,1599349860,1599395040,0.64,1.7257,10.2293,1599339240,0.96,rain,29.57,1599380160,22.72,1599436260,35.65,1599380460,23.73,1599436200,23.99,0.89,1006.0,2.92,6.51,1599360780,73,1.0,5,1599372720,15.28,263.6,23.02,1599342660,29.57,1599380160,24.25,1599342660,35.65,1599380460
265,bajura,bajura (martadi),29.45697889,81.48038389,1599329700,Humid throughout the day.,clear-day,1599351360,1599396720,0.64,0.1411,0.5143,1599383820,0.31,rain,24.2,1599378120,12.98,1599436140,25.44,1599378960,13.78,1599435720,16.89,1.0,1008.5,1.3,3.14,1599378480,39,0.21,12,1599372780,15.46,259.1,11.63,1599348060,24.2,1599378120,12.56,1599347820,25.44,1599378960
266,jumla,dipal gaun,29.23088056,82.33041944,1599329700,Partly cloudy throughout the day.,partly-cloudy-day,1599351180,1599396480,0.64,0.1862,0.7014,1599386520,0.35,rain,19.02,1599373080,7.82,1599436260,20.02,1599375900,9.18,1599435960,11.98,1.0,1008.6,1.1,2.49,1599380100,75,0.34,12,1599372000,14.163,255.5,5.22,1599348540,19.02,1599373080,6.37,1599348360,20.02,1599375900
267,jumla,jacha,29.43111111,82.10744444,1599329700,Clear throughout the day.,clear-day,1599351180,1599396540,0.64,0.1566,0.5923,1599386220,0.32,rain,18.9,1599375900,7.04,1599434880,19.4,1599376860,7.63,1599433860,11.29,1.0,1009.1,1.22,2.95,1599382620,60,0.11,13,1599373080,14.805,257.0,4.89,1599347580,18.9,1599375900,5.51,1599347340,19.4,1599376860
268,jhapa,sanischare,26.625063899999997,87.98858059999999,1599329700,Rain and humid throughout the day.,rain,1599349860,1599395040,0.64,1.3628,7.6142,1599338940,0.95,rain,30.36,1599379860,22.8,1599436380,37.93,1599380220,23.91,1599436320,24.8,0.92,1006.1,2.42,5.19,1599361020,81,1.0,5,1599372780,14.714,263.3,23.4,1599343200,30.36,1599379860,24.69,1599343260,37.93,1599380220
269,jhapa,gaida (kankai),26.68972222,87.98861111,1599329700,Rain and humid throughout the day.,rain,1599349860,1599395040,0.64,1.09,5.9319,1599338820,0.93,rain,30.47,1599380100,22.87,1599436140,39.81,1599385560,24.05,1599436080,25.41,0.95,1006.3,1.95,4.11,1599363420,86,1.0,5,1599372780,14.39,263.0,23.42,1599343560,30.47,1599380100,24.81,1599343620,39.81,1599385560
270,jhapa,kechana,26.65688889,87.86072222,1599329700,Rain and humid throughout the day.,rain,1599349920,1599395100,0.64,0.9888,4.3512,1599333300,0.94,rain,30.41,1599379920,22.97,1599436320,38.81,1599385500,24.15,1599436200,25.22,0.93,1006.1,2.04,4.18,1599408000,86,0.99,5,1599372960,14.703,263.1,23.64,1599350280,30.41,1599379920,25.01,1599350100,38.81,1599385500
