district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
Bardiya,Rani Jaruwa Nursery,28.42588611,81.33803611,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 06:10:00,2020-09-23 18:16:00,0.23,0.9401,4.0883,2020-09-23 02:28:00,0.94,rain,27.33,2020-09-23 14:28:00,22.24,2020-09-24 06:04:00,33.29,2020-09-23 14:20:00,23.65,2020-09-24 05:52:00,24.94,0.99,1004.6,1.24,5.34,1600798500,78,0.98,5,1600842960,15.918,258.9,23.5,2020-09-23 05:34:00,27.33,2020-09-23 14:28:00,24.94,2020-09-23 05:18:00,33.29,2020-09-23 14:20:00
Bhaktapur,Bhaktapur,27.63333333,85.43333333,2020-09-23 00:00:00,Rain throughout the day.,rain,2020-09-23 05:54:00,2020-09-23 18:00:00,0.23,1.6035,3.6964,2020-09-23 12:32:00,0.84,rain,20.07,2020-09-23 13:22:00,15.71,2020-09-24 05:56:00,21.81,2020-09-23 13:33:00,17.18,2020-09-24 01:16:00,17.86,1.0,1007.4,0.89,2.94,1600851180,57,0.99,6,1600841520,10.115,252.8,16.01,2020-09-24 00:00:00,20.07,2020-09-23 13:22:00,17.43,2020-09-24 00:00:00,21.81,2020-09-23 13:33:00
Bhaktapur,Changu Narayan,27.67668056,85.42396944,2020-09-23 00:00:00,Rain throughout the day.,rain,2020-09-23 05:54:00,2020-09-23 18:00:00,0.23,1.4932,3.4819,2020-09-23 12:48:00,0.83,rain,20.86,2020-09-23 12:33:00,16.32,2020-09-24 06:23:00,22.29,2020-09-23 12:54:00,17.83,2020-09-24 06:13:00,19.01,1.0,1007.5,0.88,2.87,1600851240,68,0.98,6,1600841520,9.966,252.9,17.63,2020-09-24 00:00:00,20.86,2020-09-23 12:33:00,18.82,2020-09-24 00:00:00,22.29,2020-09-23 12:54:00
Bhaktapur,Nagarkot,27.645725,85.4615833,2020-09-23 00:00:00,Rain throughout the day.,rain,2020-09-23 05:54:00,2020-09-23 18:00:00,0.23,1.5621,3.703,2020-09-23 12:46:00,0.84,rain,20.47,2020-09-23 13:01:00,16.07,2020-09-24 06:09:00,22.08,2020-09-23 13:14:00,17.72,2020-09-24 05:58:00,18.52,1.0,1007.5,0.86,2.78,1600851180,54,0.99,6,1600841520,9.776,252.8,16.95,2020-09-24 00:00:00,20.47,2020-09-23 13:01:00,18.27,2020-09-24 00:00:00,22.08,2020-09-23 13:14:00
Bhaktapur,Sanga,27.71605833,85.42675556,2020-09-23 00:00:00,Rain throughout the day.,rain,2020-09-23 05:54:00,2020-09-23 18:00:00,0.23,1.3893,3.3329,2020-09-23 13:02:00,0.83,rain,20.4,2020-09-23 12:11:00,15.82,2020-09-24 06:13:00,21.6,2020-09-23 12:32:00,17.27,2020-09-24 06:01:00,18.36,1.0,1007.6,0.84,2.76,1600851300,75,0.99,6,1600841520,9.708,253.0,16.83,2020-09-24 00:00:00,20.4,2020-09-23 12:11:00,17.96,2020-09-24 00:00:00,21.6,2020-09-23 12:32:00
Bhojpur,Dingla,27.1944798,87.04862659999999,2020-09-23 00:00:00,Rain throughout the day.,rain,2020-09-23 05:47:00,2020-09-23 17:54:00,0.23,1.9975,3.5095,2020-09-23 08:59:00,0.89,rain,16.37,2020-09-23 11:38:00,15.06,2020-09-24 05:42:00,19.57,2020-09-23 12:26:00,17.27,2020-09-24 05:34:00,15.78,1.0,1008.1,1.16,3.29,1600843200,36,1.0,6,1600841280,9.518,251.9,15.04,2020-09-23 06:02:00,16.55,2020-09-23 00:00:00,17.39,2020-09-23 05:51:00,19.57,2020-09-23 12:26:00
Bhojpur,Rampur,27.5282716,87.2177064,2020-09-23 00:00:00,Rain throughout the day.,rain,2020-09-23 05:47:00,2020-09-23 17:53:00,0.23,1.7278,2.5635,2020-09-23 15:01:00,0.86,rain,19.6,2020-09-23 09:56:00,15.77,2020-09-24 06:03:00,20.63,2020-09-23 10:30:00,16.91,2020-09-24 05:52:00,17.75,1.0,1009.1,0.72,2.15,1600819740,10,1.0,5,1600841160,10.578,250.8,16.24,2020-09-23 05:45:00,19.6,2020-09-23 09:56:00,17.47,2020-09-23 05:43:00,20.63,2020-09-23 10:30:00
Chitawan,Bharatpur,27.72113611,84.58525556,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 05:57:00,2020-09-23 18:03:00,0.23,0.8526,2.1616,2020-09-23 11:50:00,0.91,rain,24.37,2020-09-23 11:22:00,20.26,2020-09-24 07:17:00,25.52,2020-09-23 11:38:00,21.76,2020-09-24 07:04:00,23.02,0.99,1006.7,0.95,2.78,1600842900,4,0.99,5,1600841580,13.164,255.5,22.03,2020-09-23 06:29:00,24.52,2020-09-23 00:00:00,23.33,2020-09-23 06:28:00,25.52,2020-09-23 11:38:00
Chitawan,Bharatpur,27.5909,84.5223,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 05:57:00,2020-09-23 18:04:00,0.23,1.3052,2.6766,2020-09-23 11:40:00,0.95,rain,24.08,2020-09-23 11:40:00,20.99,2020-09-24 06:17:00,25.34,2020-09-23 11:57:00,22.46,2020-09-24 06:12:00,23.36,0.99,1006.2,0.99,2.69,1600844460,8,0.99,5,1600841640,12.685,256.2,22.18,2020-09-23 06:41:00,25.14,2020-09-23 00:00:00,23.62,2020-09-23 06:36:00,25.99,2020-09-23 00:00:00
Chitawan,Jhuwani,27.654025,84.3507944,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 05:58:00,2020-09-23 18:04:00,0.23,1.119,1.961,2020-09-23 11:41:00,0.96,rain,24.26,2020-09-23 11:09:00,20.49,2020-09-24 05:50:00,25.25,2020-09-23 11:28:00,21.86,2020-09-24 05:44:00,22.95,0.99,1006.3,1.35,2.96,1600844460,11,0.99,5,1600841700,13.553,256.1,21.96,2020-09-23 06:07:00,24.8,2020-09-23 00:00:00,23.3,2020-09-23 06:01:00,25.58,2020-09-23 00:00:00
