district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,precipAccumulation
Bardiya,Chisapani(Karnali),28.21278611,81.34521111,2020-10-05 00:00:00,Humid throughout the day.,clear-day,2020-10-05 06:16:00,2020-10-05 18:02:00,0.61,0.0094,0.2103,2020-10-05 00:00:00,0.06,rain,32.4,2020-10-05 14:34:00,21.81,2020-10-06 05:20:00,36.19,2020-10-05 14:33:00,22.41,2020-10-06 05:25:00,21.74,0.73,1006.7,1.54,3.01,1601889720,17,0.09,9,1601878980,16.093,265.7,23.26,2020-10-05 05:38:00,32.4,2020-10-05 14:34:00,24.06,2020-10-05 05:39:00,36.19,2020-10-05 14:33:00,
Bardiya,Kumalgaun,28.33735833,81.33784167,2020-10-05 00:00:00,Humid throughout the day.,clear-day,2020-10-05 06:16:00,2020-10-05 18:02:00,0.61,0.0054,0.1142,2020-10-05 00:00:00,0.04,rain,32.31,2020-10-05 14:21:00,21.34,2020-10-06 05:19:00,36.47,2020-10-05 14:31:00,21.87,2020-10-06 05:19:00,21.73,0.73,1006.9,1.47,2.66,1601890080,22,0.12,9,1601878980,16.093,265.9,22.78,2020-10-05 05:38:00,32.31,2020-10-05 14:21:00,23.5,2020-10-05 05:40:00,36.47,2020-10-05 14:31:00,
Bardiya,Manpur,28.36353889,81.41428333,2020-10-05 00:00:00,Humid throughout the day.,clear-day,2020-10-05 06:16:00,2020-10-05 18:02:00,0.61,0.0051,0.1058,2020-10-05 00:00:00,0.04,rain,32.6,2020-10-05 14:05:00,21.39,2020-10-06 05:08:00,37.11,2020-10-05 14:48:00,21.92,2020-10-06 05:13:00,22.05,0.74,1007.0,1.4,2.54,1601889180,29,0.12,9,1601878980,16.093,265.7,22.56,2020-10-05 05:31:00,32.6,2020-10-05 14:05:00,23.27,2020-10-05 05:33:00,37.11,2020-10-05 14:48:00,
Bardiya,Rajapur,28.64721944,81.28542778,2020-10-05 00:00:00,Humid throughout the day.,clear-day,2020-10-05 06:16:00,2020-10-05 18:02:00,0.61,0.0007,0.0062,2020-10-05 17:45:00,0.01,rain,32.39,2020-10-05 13:40:00,20.22,2020-10-06 05:27:00,35.25,2020-10-05 15:41:00,20.49,2020-10-06 05:27:00,20.22,0.7,1007.7,1.39,2.13,1601854320,31,0.12,9,1601878980,16.093,266.0,21.43,2020-10-05 05:33:00,32.39,2020-10-05 13:40:00,21.9,2020-10-05 05:37:00,35.25,2020-10-05 15:41:00,
Bardiya,Rambhapur,28.307825,81.27586389,2020-10-05 00:00:00,Humid throughout the day.,clear-day,2020-10-05 06:16:00,2020-10-05 18:03:00,0.61,0.0058,0.1234,2020-10-05 00:00:00,0.04,rain,32.2,2020-10-05 14:33:00,21.38,2020-10-06 05:23:00,35.91,2020-10-05 14:35:00,21.91,2020-10-06 05:28:00,21.49,0.73,1006.8,1.54,2.79,1601891400,15,0.12,9,1601878980,16.093,265.9,22.94,2020-10-05 05:40:00,32.2,2020-10-05 14:33:00,23.68,2020-10-05 05:41:00,35.91,2020-10-05 14:35:00,
Bardiya,Rani Jaruwa Nursery,28.42588611,81.33803611,2020-10-05 00:00:00,Humid throughout the day.,clear-day,2020-10-05 06:16:00,2020-10-05 18:02:00,0.61,0.0029,0.052,2020-10-05 00:00:00,0.02,rain,32.37,2020-10-05 14:05:00,21.06,2020-10-06 05:20:00,36.79,2020-10-05 14:37:00,21.54,2020-10-06 05:25:00,21.74,0.73,1007.1,1.45,2.4,1601890860,30,0.15,9,1601878980,16.093,265.9,22.36,2020-10-05 05:37:00,32.37,2020-10-05 14:05:00,23.0,2020-10-05 05:39:00,36.79,2020-10-05 14:37:00,
Bhaktapur,Bhaktapur,27.63333333,85.43333333,2020-10-05 00:00:00,Humid and partly cloudy throughout the day.,rain,2020-10-05 05:59:00,2020-10-05 17:46:00,0.61,0.2247,0.6591,2020-10-05 23:35:00,0.38,rain,25.78,2020-10-05 12:31:00,14.96,2020-10-06 05:36:00,25.98,2020-10-05 12:39:00,15.29,2020-10-06 05:36:00,18.5,0.94,1008.8,0.85,2.2,1601888040,72,0.37,9,1601877360,15.393,255.7,15.17,2020-10-05 05:38:00,25.78,2020-10-05 12:31:00,15.69,2020-10-05 05:38:00,25.98,2020-10-05 12:39:00,
Bhaktapur,Changu Narayan,27.67668056,85.42396944,2020-10-05 00:00:00,Humid throughout the day.,clear-day,2020-10-05 05:59:00,2020-10-05 17:46:00,0.61,0.186,0.4968,2020-10-05 15:48:00,0.37,rain,27.55,2020-10-05 12:44:00,15.22,2020-10-06 05:39:00,28.9,2020-10-05 12:57:00,15.49,2020-10-06 05:39:00,18.65,0.87,1009.1,0.8,2.24,1601888280,70,0.33,9,1601877480,15.745,255.9,15.66,2020-10-05 05:40:00,27.55,2020-10-05 12:44:00,15.94,2020-10-05 05:41:00,28.9,2020-10-05 12:57:00,
Bhaktapur,Nagarkot,27.645725,85.4615833,2020-10-05 00:00:00,Humid throughout the day.,rain,2020-10-05 05:59:00,2020-10-05 17:46:00,0.61,0.2162,0.6119,2020-10-05 23:32:00,0.38,rain,26.85,2020-10-05 12:36:00,15.04,2020-10-06 05:39:00,28.07,2020-10-05 12:45:00,15.31,2020-10-06 05:39:00,18.7,0.9,1009.0,0.82,2.19,1601888040,68,0.36,9,1601877360,15.427,255.7,15.3,2020-10-05 05:39:00,26.85,2020-10-05 12:36:00,15.65,2020-10-05 05:40:00,28.07,2020-10-05 12:45:00,
Bhaktapur,Sanga,27.71605833,85.42675556,2020-10-05 00:00:00,Clear throughout the day.,clear-day,2020-10-05 05:59:00,2020-10-05 17:46:00,0.61,0.1518,0.4578,2020-10-05 15:56:00,0.36,rain,27.01,2020-10-05 12:49:00,14.76,2020-10-06 05:38:00,27.99,2020-10-05 13:01:00,15.03,2020-10-06 05:38:00,17.76,0.86,1009.1,0.76,2.26,1601888400,68,0.29,10,1601877660,15.946,255.9,15.15,2020-10-05 05:41:00,27.01,2020-10-05 12:49:00,15.42,2020-10-05 05:41:00,27.99,2020-10-05 13:01:00,
